match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
980915,2,Kolkata Knight Riders,Sunrisers Hyderabad,9,2,RV Uthappa,MC Henriques,G Gambhir,1,0,1,,0,,,
1304048,1,Mumbai Indians,Delhi Capitals,0,5,RG Sharma,SN Thakur,Ishan Kishan,0,0,0,,0,,,
548314,1,Deccan Chargers,Mumbai Indians,18,2,DB Ravi Teja,SL Malinga,CL White,0,0,0,,1,DB Ravi Teja,bowled,
336012,1,Royal Challengers Bangalore,Mumbai Indians,16,3,P Kumar,DS Kulkarni,R Vinay Kumar,0,0,0,,0,,,
548361,1,Rajasthan Royals,Chennai Super Kings,7,2,STR Binny,BW Hilfenhaus,AM Rahane,0,0,0,,0,,,
1422120,1,Delhi Capitals,Punjab Kings,1,7,DA Warner,Arshdeep Singh,MR Marsh,0,0,0,,0,,,
1082605,1,Delhi Daredevils,Kings XI Punjab,17,5,CH Morris,Sandeep Sharma,CJ Anderson,0,0,0,,1,CH Morris,caught,MM Sharma
1359507,2,Kolkata Knight Riders,Chennai Super Kings,5,1,VR Iyer,M Theekshana,N Rana,1,0,1,,0,,,
335987,1,Kings XI Punjab,Rajasthan Royals,3,2,JR Hopes,SR Watson,K Goel,0,0,0,,0,,,
1312200,2,Gujarat Titans,Rajasthan Royals,13,6,DA Miller,YS Chahal,Shubman Gill,1,0,1,,0,,,
734009,2,Kolkata Knight Riders,Mumbai Indians,17,1,YK Pathan,LMP Simmons,Shakib Al Hasan,4,0,4,,0,,,
501206,1,Chennai Super Kings,Kings XI Punjab,11,6,M Vijay,AM Nayar,S Badrinath,1,0,1,,0,,,
419118,1,Rajasthan Royals,Kolkata Knight Riders,15,2,AA Jhunjhunwala,AD Mathews,AC Voges,1,0,1,,0,,,
501264,1,Deccan Chargers,Kings XI Punjab,16,3,S Dhawan,RJ Harris,CL White,4,0,4,,0,,,
1254072,2,Kolkata Knight Riders,Chennai Super Kings,10,2,KD Karthik,RA Jadeja,AD Russell,1,0,1,,0,,,
1304083,1,Lucknow Super Giants,Mumbai Indians,13,3,KL Rahul,KA Pollard,DJ Hooda,1,0,1,,0,,,
392184,2,Deccan Chargers,Kolkata Knight Riders,4,6,RG Sharma,AB Dinda,HH Gibbs,0,0,0,,0,,,
1216525,2,Chennai Super Kings,Royal Challengers Bangalore,16,2,SM Curran,CH Morris,AT Rayudu,0,0,0,,1,SM Curran,caught,AB de Villiers
392234,1,Chennai Super Kings,Kings XI Punjab,7,2,SK Raina,S Sreesanth,S Badrinath,0,0,0,,0,,,
419115,1,Rajasthan Royals,Royal Challengers Bangalore,2,2,NV Ojha,P Kumar,MJ Lumb,0,0,0,,0,,,
392199,1,Kolkata Knight Riders,Royal Challengers Bangalore,14,1,MN van Wyk,A Kumble,WP Saha,0,0,0,,0,,,
1082646,1,Royal Challengers Bangalore,Delhi Daredevils,4,1,CH Gayle,PJ Cummins,Vishnu Vinod,1,0,1,,0,,,
